brain,scenario,method,tissue_pct,skull_pct
vp_930449,standard,sg,86.19570258154275,68.8708036622584
vp_930449,standard,sg_c,91.29309012212087,40.79348931841302
vp_930449,reduced_compute,baseline,83.47503478126448,55.03560528992879
vp_930449,reduced_compute,dg,76.8356778481991,29.50152594099695
vp_930449,reduced_compute,dg_c,95.68325861802442,67.54832146490337
vp_930449,reduced_compute,sg,82.648013603339,67.03967446592065
vp_930449,reduced_compute,sg_c,95.79533158138815,61.444557477110884
vp_930449,missing_low_freq,baseline,4.482918534549389,20.54933875890132
vp_930449,missing_low_freq,dg,90.7520482300201,74.16073245167854
vp_930449,missing_low_freq,dg_c,92.27855928273303,84.13021363173957
vp_930449,missing_low_freq,sg,81.18720049466688,52.08545269582909
vp_930449,missing_low_freq,sg_c,94.42726851136189,57.98575788402849
vp_859671,standard,baseline,94.89536475650303,65.72545612510861
vp_859671,standard,dg,94.27342069235283,75.28236316246742
vp_859671,standard,dg_c,95.38431449247018,74.89139878366638
vp_859671,standard,sg,97.94641110893801,87.74978279756733
vp_859671,standard,sg_c,96.99589282221788,75.80364900086882
