brain,scenario,method,tissue_pct,skull_pct,status,converged,tissue_rmse,tissue_std,tissue_mean,skull_rmse,ms_ssim,psnr,n_tissue_px,n_skull_px,n_brain_px
vp_102513,reduced_compute,baseline,5.41,35.18,failed,0,85.475,0.235,1480.004,948.697,0.9088,17.417,31526,2763,45367
vp_102513,reduced_compute,dg,15.42,19.18,failed,0,76.217,28.796,1494.429,990.442,0.9077,17.194,31526,2763,45367
vp_102513,reduced_compute,dg_c,73.08,53.49,buffer,0,29.608,19.806,1588.165,399.084,0.9474,20.285,31526,2763,45367
vp_102513,reduced_compute,sg,85.27,83.6,converged,1,23.346,20.082,1581.215,230.901,0.9649,22.011,31526,2763,45367
vp_102513,reduced_compute,sg_c,89.91,86.86,converged,1,19.735,24.427,1569.251,187.065,0.9712,22.931,31526,2763,45367
vp_102513,missing_low_freq,baseline,5.41,27.07,failed,0,85.478,0.002,1480.0,1036.905,0.9035,17.179,31526,2763,45367
vp_102513,missing_low_freq,dg,5.41,1.52,failed,0,83.827,4.629,1481.695,1065.173,0.9023,16.563,31526,2763,45367
vp_102513,missing_low_freq,dg_c,69.04,40.17,buffer,0,31.403,27.564,1577.814,549.207,0.9336,19.554,31526,2763,45367
vp_102513,missing_low_freq,sg,87.24,82.92,converged,1,22.501,20.354,1578.957,229.887,0.9684,22.513,31526,2763,45367
vp_102513,missing_low_freq,sg_c,89.39,89.58,converged,1,19.563,24.913,1563.144,152.595,0.9771,23.841,31526,2763,45367
vp_155938,standard,baseline,5.64,29.33,failed,0,91.943,0.817,1480.09,676.216,0.8869,18.419,34095,4985,50746
vp_155938,standard,dg,60.1,61.66,converged,1,36.972,29.219,1597.204,452.976,0.914,20.528,34095,4985,50746
vp_155938,standard,dg_c,71.75,74.02,converged,1,33.288,29.989,1591.731,389.2,0.9305,21.328,34095,4985,50746
vp_155938,standard,sg,78.62,58.66,buffer,0,23.592,25.742,1557.389,419.381,0.939,21.689,34095,4985,50746
vp_155938,standard,sg_c,96.44,91.76,converged,1,11.6,21.411,1567.871,141.591,0.9794,25.384,34095,4985,50746
vp_155938,reduced_compute,baseline,5.64,4.15,failed,0,92.014,0.0,1480.0,835.259,0.8763,17.394,34095,4985,50746
vp_155938,reduced_compute,dg,5.94,14.48,failed,0,64.281,17.39,1508.758,785.232,0.8737,17.423,34095,4985,50746
